JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454484.7,1.052e-11,2.048e-14,4.087e-13,2.72e-15,8.157e-12,8.807e-14,1.909e-11,9.046e-14
2454486.67,9.737e-12,2.054e-14,3.851e-13,3.487e-15,7.186e-12,1.039e-13,1.731e-11,1.06e-13
2454487.7,9.307e-12,1.134e-14,3.821e-13,1.801e-15,6.474e-12,5.067e-14,1.616e-11,5.196e-14
2454488.63,8.973e-12,1.721e-14,3.863e-13,2.836e-15,5.688e-12,7.14e-14,1.505e-11,7.35e-14
2454490.61,8.435e-12,1.366e-14,3.755e-13,3.588e-15,2.162e-12,3.355e-13,1.097e-11,3.358e-13
2454491.66,8.223e-12,8.668e-15,3.773e-13,1.84e-15,1.892e-12,8.078000000000001e-28,1.049e-11,8.862e-15
2454492.66,8.042e-12,1.455e-14,5.158e-13,1.413e-15,1.685e-12,0.0,1.024e-11,1.461e-14
2454493.66,7.871e-12,1.325e-14,5.192e-13,1.474e-15,1.514e-12,6.058e-28,9.905e-12,1.334e-14
2454494.64,7.711e-12,9.317e-15,4.495e-13,1.674e-15,1.361e-12,0.0,9.521e-12,9.467e-15
2454494.65,7.774e-12,1.343e-14,5.213e-13,1.479e-15,1.368e-12,2.019e-28,9.664e-12,1.351e-14
2454497.64,7.293e-12,1.132e-14,5.341e-13,1.449e-15,9.352e-13,0.0,8.763e-12,1.142e-14
2454498.67,7.183e-12,9.424e-15,5.315e-13,1.866e-15,8.459e-13,3.029e-28,8.561e-12,9.607e-15
2454499.63,7.007e-12,1.201e-14,5.558e-13,1.509e-15,7.658e-13,2.019e-28,8.328e-12,1.211e-14
2454503.7,6.536e-12,1.775e-14,5.792e-13,2.058e-15,4.935e-13,1.01e-28,7.609e-12,1.787e-14
2454508.67,6.225e-12,1.283e-14,6.062e-13,2.495e-15,3.309e-13,1.01e-28,7.162e-12,1.307e-14
2454512.6,6.03e-12,1.333e-14,6.119e-13,3.262e-15,2.68e-13,0.0,6.91e-12,1.372e-14
2454513.64,6.002e-12,1.31e-14,5.873e-13,3.588e-15,2.562e-13,5.048999999999999e-29,6.845e-12,1.358e-14
2454517.59,5.881e-12,1.058e-14,6.194e-13,1.851e-15,2.415e-13,0.0,6.742e-12,1.074e-14
2454518.65,5.851e-12,9.37e-15,6.099e-13,2.378e-15,2.154e-13,0.0,6.676e-12,9.667e-15
2454520.59,5.809e-12,1.019e-14,6.242e-13,2.306e-15,2.042e-13,0.0,6.637e-12,1.045e-14
2454522.6,5.82e-12,9.372e-15,6.167e-13,2.486e-15,1.943e-13,7.573e-29,6.631e-12,9.696e-15
2454523.54,5.802e-12,9.629e-15,6.343e-13,1.863e-15,1.834e-13,7.573e-29,6.62e-12,9.807e-15
2454527.54,5.764e-12,1.147e-14,6.379e-13,2.551e-15,1.764e-13,2.5239999999999998e-29,6.579e-12,1.175e-14
2454528.56,5.73e-12,1.394e-14,6.478e-13,3.33e-15,1.721e-13,5.048999999999999e-29,6.55e-12,1.433e-14
2454539.56,4.846e-12,1.736e-14,6.191e-13,3.386e-15,7.487e-13,3.029e-28,6.214e-12,1.769e-14
2454540.54,4.739e-12,1.53e-14,6.074e-13,2.538e-15,7.344e-13,2.019e-28,6.081e-12,1.551e-14
2454542.52,4.743e-12,8.647e-15,5.661e-13,2.004e-15,6.974e-13,1.01e-28,6.006e-12,8.877e-15
2454542.61,4.668e-12,7.548e-15,5.497e-13,2.619e-15,6.955e-13,2.019e-28,5.913e-12,7.989e-15
2454543.51,4.633e-12,7.392e-15,5.444e-13,2.037e-15,6.722e-13,2.019e-28,5.85e-12,7.668e-15
2454544.53,4.56e-12,6.199e-15,5.54e-13,2.06e-15,6.557e-13,2.019e-28,5.77e-12,6.532e-15
2454545.53,4.415e-12,1.152e-14,5.339e-13,2.407e-15,6.193e-13,1.01e-28,5.568e-12,1.177e-14
2454547.52,4.161e-12,8.79e-15,5.09e-13,2.29e-15,5.78e-13,2.019e-28,5.248e-12,9.083e-15
2454548.56,3.96e-12,1.109e-14,5.2e-13,3.182e-15,5.325e-13,0.0,5.013e-12,1.154e-14
2454553.54,2.759e-12,1.874e-14,5.098e-13,5.368e-15,3.173e-13,1.01e-28,3.586e-12,1.949e-14
2454560.49,1.434e-12,1.097e-14,3.263e-13,8.004e-15,1.12e-13,2.5239999999999998e-29,1.872e-12,1.358e-14
2454566.49,9.721e-13,1.428e-14,2.002e-13,9.522e-15,5.969e-14,2.5239999999999998e-29,1.232e-12,1.717e-14
2454570.47,8.576e-13,1.22e-14,1.526e-13,5.641e-15,0.0,0.0,1.01e-12,1.344e-14
2454573.47,7.965e-13,1.084e-14,1.417e-13,4.464e-15,0.0,0.0,9.382e-13,1.172e-14
2454575.48,7.564e-13,9.793e-15,1.381e-13,4.499e-15,0.0,0.0,8.945e-13,1.078e-14
2454585.52,6.348e-13,5.864e-15,1.162e-13,2.711e-15,0.0,0.0,7.51e-13,6.46e-15
2454589.48,6.049e-13,3.184e-15,1.059e-13,1.608e-15,0.0,0.0,7.108e-13,3.567e-15
2454592.5,5.844e-13,3.009e-15,9.672e-14,1.404e-15,0.0,0.0,6.811e-13,3.32e-15
2454594.54,5.705e-13,3.239e-15,9.337e-14,1.522e-15,0.0,0.0,6.639e-13,3.579e-15
2454597.49,5.538e-13,4.506e-15,9.203e-14,1.919e-15,0.0,0.0,6.459e-13,4.897e-15
