JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454508.79,1.4e-12,1.696e-14,1.255e-13,1.76e-15,8.841e-14,0.0,1.614e-12,1.705e-14
2454511.69,1.349e-12,3.839e-15,1.409e-13,1.033e-15,6.971e-14,1.2619999999999999e-29,1.56e-12,3.976e-15
2454512.68,1.343e-12,8.145e-15,1.372e-13,1.722e-15,6.213e-14,0.0,1.543e-12,8.325e-15
2454515.67,1.189e-12,1.345e-14,1.358e-13,2.233e-15,1.882e-13,7.573e-29,1.513e-12,1.364e-14
2454517.64,1.175e-12,6.368e-15,1.397e-13,1.461e-15,1.986e-13,7.573e-29,1.513e-12,6.533e-15
2454518.71,1.164e-12,2.79e-15,1.464e-13,1.093e-15,1.916e-13,5.048999999999999e-29,1.502e-12,2.997e-15
2454523.63,1.123e-12,1.719e-14,1.5e-13,2.039e-15,1.618e-13,5.048999999999999e-29,1.435e-12,1.731e-14
2454527.6,1.102e-12,7.134e-15,1.518e-13,1.729e-15,1.513e-13,5.048999999999999e-29,1.405e-12,7.341e-15
2454528.66,1.096e-12,3.835e-15,1.578e-13,1.468e-15,1.435e-13,2.5239999999999998e-29,1.398e-12,4.106e-15
2454536.67,1.044e-12,4.858e-15,1.517e-13,1.385e-15,1.213e-13,2.5239999999999998e-29,1.317e-12,5.051e-15
2454542.67,9.999e-13,4.035e-15,1.518e-13,1.22e-15,1.103e-13,2.5239999999999998e-29,1.262e-12,4.215e-15
2454544.7,1.026e-12,3.411e-15,1.479e-13,2.282e-15,1.072e-13,3.7869999999999997e-29,1.281e-12,4.104e-15
2454545.65,1.023e-12,4.666e-15,1.341e-13,2.01e-15,9.707e-14,3.7869999999999997e-29,1.254e-12,5.081e-15
2454548.55,1.006e-12,3.403e-15,1.479e-13,1.653e-15,9.645e-14,2.5239999999999998e-29,1.25e-12,3.784e-15
2454548.67,1.001e-12,2.85e-15,1.491e-13,1.528e-15,1.015e-13,1.2619999999999999e-29,1.252e-12,3.234e-15
2454555.59,9.156e-13,3.326e-15,1.369e-13,1.464e-15,9.085e-14,0.0,1.143e-12,3.634e-15
2454560.55,8.939e-13,1.403e-14,1.077e-13,3.768e-15,8.112e-14,2.5239999999999998e-29,1.083e-12,1.453e-14
2454564.56,8.782e-13,6.339e-15,1.305e-13,2.781e-15,7.48e-14,0.0,1.084e-12,6.922e-15
2454565.61,8.768e-13,2.842e-15,1.445e-13,2.086e-15,6.994e-14,1.2619999999999999e-29,1.091e-12,3.526e-15
2454571.5,7.848e-13,1.812e-14,1.348e-13,6.826e-15,5.591e-14,1.893e-29,9.755e-13,1.936e-14
2454574.5,7.08e-13,1.816e-14,1.297e-13,7.586e-15,4.702e-14,1.2619999999999999e-29,8.847e-13,1.968e-14
2454580.53,5.278e-13,5.128e-15,9.647e-14,3.451e-15,3.03e-14,6.311000000000001e-30,6.545e-13,6.181e-15
2454581.58,4.972e-13,3.417e-15,9.801e-14,2.506e-15,3.047e-14,6.311000000000001e-30,6.257e-13,4.237e-15
2454594.61,2.046e-13,2.755e-15,4.633e-14,2.354e-15,0.0,0.0,2.509e-13,3.624e-15
2454595.57,1.981e-13,4.592e-15,5.182e-14,4.189e-15,0.0,0.0,2.499e-13,6.215e-15
