JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454511.85,3.257e-12,1.212e-14,2.662e-13,1.495e-15,1.819e-13,5.048999999999999e-29,3.705e-12,1.221e-14
2454512.84,3.251e-12,8.983e-15,2.65e-13,1.083e-15,1.792e-13,2.5239999999999998e-29,3.695e-12,9.048e-15
2454513.88,3.246e-12,7.435e-15,2.746e-13,1.458e-15,1.64e-13,0.0,3.685e-12,7.577e-15
2454515.83,3.224e-12,8.708e-15,2.731e-13,1.186e-15,1.552e-13,5.048999999999999e-29,3.653e-12,8.789e-15
2454516.84,3.202e-12,5.574e-15,2.745e-13,1.493e-15,1.419e-13,2.5239999999999998e-29,3.618e-12,5.77e-15
2454517.83,3.224e-12,8.715e-15,2.818e-13,1.278e-15,1.354e-13,0.0,3.642e-12,8.808e-15
2454519.89,3.21e-12,6.521e-15,2.87e-13,1.133e-15,9.929e-14,1.2619999999999999e-29,3.596e-12,6.618e-15
2454520.88,3.232e-12,4.42e-15,2.999e-13,1.322e-15,1.174e-13,0.0,3.65e-12,4.613e-15
2454521.88,3.225e-12,5.936e-15,2.98e-13,1.095e-15,1.162e-13,5.048999999999999e-29,3.639e-12,6.037e-15
2454522.89,3.217e-12,4.503e-15,3.017e-13,1.295e-15,1.074e-13,2.5239999999999998e-29,3.626e-12,4.686e-15
2454523.83,3.211e-12,6.744e-15,2.976e-13,1.132e-15,9.902e-14,0.0,3.608e-12,6.839e-15
2454524.83,3.204e-12,5.008e-15,3.057e-13,1.476e-15,9.875e-14,0.0,3.608e-12,5.221e-15
2454527.86,3.196e-12,6.099e-15,3.059e-13,1.57e-15,8.712e-14,1.2619999999999999e-29,3.589e-12,6.298e-15
2454530.89,3.185e-12,8.811e-15,3.218e-13,2.047e-15,7.743e-14,0.0,3.585e-12,9.045e-15
2454536.94,3.169e-12,1.135e-14,3.284e-13,2.015e-15,6.248e-14,1.2619999999999999e-29,3.56e-12,1.153e-14
2454542.86,3.16e-12,7.017e-15,3.037e-13,2.4e-15,5.303e-14,1.2619999999999999e-29,3.516e-12,7.417e-15
2454543.82,3.169e-12,6.156e-15,3.098e-13,2.327e-15,5.088e-14,1.893e-29,3.529e-12,6.581e-15
2454544.92,3.172e-12,4.668e-15,3.175e-13,2.179e-15,4.944e-14,6.311000000000001e-30,3.539e-12,5.152e-15
2454545.84,3.189e-12,6.675e-15,3.267e-13,1.851e-15,4.827e-14,6.311000000000001e-30,3.563e-12,6.927e-15
2454546.91,3.034e-12,4.52e-15,3.161e-13,2.259e-15,1.705e-13,3.051e-16,3.521e-12,5.062e-15
2454548.8,3.041e-12,5.253e-15,3.225e-13,1.575e-15,1.583e-13,2.598e-16,3.522e-12,5.49e-15
2454548.92,3.023e-12,6.831e-15,3.269e-13,3.203e-15,1.627e-13,4.471e-16,3.513e-12,7.558e-15
2454550.9,3.049e-12,4.868e-15,3.278e-13,2.031e-15,1.589e-13,2.757e-16,3.535e-12,5.282e-15
2454552.88,3.037e-12,5.612e-15,3.126e-13,1.994e-15,1.478e-13,2.663e-16,3.497e-12,5.961e-15
2454554.93,3.032e-12,5.913e-15,3.044e-13,2.113e-15,1.523e-13,3.078e-16,3.489e-12,6.286e-15
2454555.94,3.026e-12,6.468e-15,3.266e-13,2.415e-15,1.522e-13,3.513e-16,3.505e-12,6.913e-15
2454558.78,3.045e-12,5.723e-15,3.224e-13,2.057e-15,1.549e-13,2.871e-16,3.522e-12,6.088e-15
2454559.91,3.052e-12,5.171e-15,3.281e-13,2.132e-15,1.495e-13,2.696e-16,3.53e-12,5.6e-15
2454564.78,3.054e-12,5.712e-15,3.306e-13,2.233e-15,1.404e-13,2.668e-16,3.525e-12,6.138e-15
2454565.92,3.05e-12,4.568e-15,3.33e-13,2.301e-15,1.407e-13,2.531e-16,3.524e-12,5.121e-15
2454566.85,3.046e-12,6.581e-15,3.32e-13,2.694e-15,1.43e-13,3.255e-16,3.521e-12,7.119e-15
2454569.85,3.021e-12,1.112e-14,3.212e-13,3.7e-15,1.362e-13,5.235e-16,3.479e-12,1.174e-14
2454570.79,3.02e-12,1.258e-14,3.147e-13,3.945e-15,1.245e-13,5.412e-16,3.459e-12,1.32e-14
2454571.79,2.953e-12,1.477e-14,3.278e-13,4.336e-15,1.316e-13,6.591e-16,3.412e-12,1.541e-14
2454572.79,2.987e-12,1.511e-14,3.117e-13,4.138e-15,1.334e-13,6.879e-16,3.432e-12,1.568e-14
2454573.79,2.986e-12,1.601e-14,3.06e-13,4.313e-15,1.321e-13,7.088e-16,3.424e-12,1.66e-14
2454574.84,2.969e-12,1.565e-14,3.045e-13,4.374e-15,1.393e-13,7.478e-16,3.412e-12,1.627e-14
2454575.8,2.958e-12,1.484e-14,2.993e-13,4.205e-15,1.229e-13,6.32e-16,3.381e-12,1.544e-14
2454576.76,2.941e-12,1.363e-14,2.986e-13,3.892e-15,1.235e-13,5.789e-16,3.363e-12,1.419e-14
2454578.82,2.904e-12,9.431e-15,2.909e-13,3.524e-15,1.202e-13,4.264e-16,3.315e-12,1.008e-14
2454581.93,2.839e-12,4.315e-15,2.961e-13,2.233e-15,1.141e-13,2.164e-16,3.249e-12,4.864e-15
2454582.81,2.799e-12,6.219e-15,2.979e-13,2.609e-15,1.133e-13,2.522e-16,3.211e-12,6.749e-15
2454583.81,2.805e-12,5.451e-15,2.804e-13,2.123e-15,1.152e-13,2.388e-16,3.201e-12,5.854e-15
2454587.79,2.629e-12,4.609e-15,2.885e-13,1.992e-15,8.904e-14,1.66e-16,3.007e-12,5.024e-15
2454588.83,2.61e-12,4.879e-15,2.977e-13,2.377e-15,9.079e-14,2.017e-16,2.998e-12,5.431e-15
2454590.84,2.538e-12,4.785e-15,2.687e-13,2.248e-15,8.244e-14,1.787e-16,2.889e-12,5.29e-15
2454591.78,2.517e-12,5.008e-15,2.877e-13,1.888e-15,7.99e-14,1.497e-16,2.884e-12,5.354e-15
2454593.9,2.437e-12,4.226e-15,2.818e-13,2.202e-15,7.16e-14,1.476e-16,2.79e-12,4.767e-15
2454595.81,2.343e-12,4.153e-15,2.732e-13,1.77e-15,6.534e-14,1.187e-16,2.682e-12,4.516e-15
2454598.84,2.163e-12,5.469e-15,2.634e-13,2.307e-15,5.287e-14,1.336e-16,2.479e-12,5.938e-15
2454606.74,1.469e-12,1.139e-14,1.711e-13,3.884e-15,3.493e-14,2.83e-16,1.675e-12,1.204e-14
2454616.7,7.869e-13,3.593e-15,1.228e-13,2.301e-15,0.0,0.0,9.097e-13,4.266e-15
2454617.83,7.56e-13,3.146e-15,1.147e-13,2.036e-15,0.0,0.0,8.708e-13,3.748e-15
2454618.71,7.442e-13,3.504e-15,1.12e-13,2.083e-15,0.0,0.0,8.562e-13,4.077e-15
2454627.84,5.624e-13,2.106e-15,1.783e-13,2.887e-15,0.0,0.0,7.406e-13,3.573e-15
2454628.75,5.632e-13,2.52e-15,1.762e-13,3.438e-15,0.0,0.0,7.394e-13,4.263e-15
2454630.73,5.63e-13,3.146e-15,1.773e-13,5.854e-15,0.0,0.0,7.403e-13,6.646e-15
2454646.68,6.013e-13,1.013e-14,1.139e-13,8.071e-15,0.0,0.0,7.152e-13,1.295e-14
2454648.73,5.805e-13,9.741e-15,1.064e-13,7.646e-15,0.0,0.0,6.869e-13,1.238e-14
2454651.71,5.668e-13,9.745e-15,1.043e-13,7.58e-15,0.0,0.0,6.711e-13,1.235e-14
