JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454539.9,1.087e-11,2.905e-14,8.931e-13,2.851e-15,1.656e-12,2.141e-14,1.342e-11,3.62e-14
2454541.84,1.015e-11,1.852e-14,8.697e-13,2.624e-15,1.421e-12,4.039000000000001e-28,1.244e-11,1.871e-14
2454542.78,9.752e-12,1.348e-14,8.413e-13,2.61e-15,1.347e-12,4.039000000000001e-28,1.194e-11,1.373e-14
2454542.9,9.739e-12,9.875e-15,8.029e-13,2.268e-15,1.327e-12,0.0,1.187e-11,1.013e-14
2454543.8,9.448e-12,1.567e-14,8.585e-13,3.042e-15,1.249e-12,2.019e-28,1.156e-11,1.597e-14
2454545.82,8.856e-12,2.088e-14,8.771e-13,3.659e-15,9.902e-13,0.0,1.072e-11,2.12e-14
2454550.84,7.699e-12,9.701e-15,8.361e-13,2.215e-15,5.761e-13,1.01e-28,9.112e-12,9.951e-15
2454552.84,7.304e-12,1.069e-14,8.522e-13,2.387e-15,4.526e-13,5.048999999999999e-29,8.609e-12,1.095e-14
2454555.9,6.796e-12,8.297e-15,7.678e-13,2.916e-15,3.204e-13,1.515e-28,7.884e-12,8.794e-15
2454558.76,6.449e-12,1.587e-14,8.155e-13,4.889e-15,2.382e-13,1.515e-28,7.503e-12,1.661e-14
2454560.77,6.255e-12,1.227e-14,8.182e-13,4.201e-15,2.016e-13,5.048999999999999e-29,7.275e-12,1.297e-14
2454561.91,6.161e-12,8.331e-15,7.948e-13,3.099e-15,1.795e-13,0.0,7.135e-12,8.889e-15
2454562.78,6.104e-12,1.381e-14,8.215e-13,5.478e-15,1.688e-13,2.5239999999999998e-29,7.094e-12,1.485e-14
2454568.76,5.628e-12,8.054e-14,7.654e-13,1.068e-14,1.168e-13,2.5239999999999998e-29,6.51e-12,8.124e-14
2454570.76,5.466e-12,9.412e-14,7.463e-13,7.682e-15,1.044e-13,3.7869999999999997e-29,6.317e-12,9.443e-14
2454571.74,5.418e-12,9.643e-14,7.624e-13,7.604e-15,1.115e-13,3.7869999999999997e-29,6.291e-12,9.673e-14
2454572.76,5.288e-12,9.323e-14,7.356e-13,8.178e-15,8.672e-14,2.5239999999999998e-29,6.11e-12,9.359e-14
2454573.74,5.225e-12,9.072e-14,7.397e-13,7.699e-15,9.097e-14,1.2619999999999999e-29,6.056e-12,9.105e-14
2454574.71,5.14e-12,8.629e-14,7.312e-13,7.765e-15,9.73e-14,0.0,5.968e-12,8.664e-14
2454576.7,4.966e-12,6.852e-14,7.064e-13,8.23e-15,8.76e-14,1.2619999999999999e-29,5.76e-12,6.901e-14
2454580.76,4.615e-12,1.767e-14,7.186e-13,5.918e-15,9.224e-14,1.2619999999999999e-29,5.426e-12,1.864e-14
2454581.79,4.526e-12,9.97e-15,6.88e-13,2.893e-15,7.029e-14,1.2619999999999999e-29,5.284e-12,1.038e-14
2454587.72,4.06e-12,4.713e-14,6.907e-13,6.183e-15,4.472e-14,1.2619999999999999e-29,4.796e-12,4.753e-14
2454591.68,3.733e-12,3.226e-14,6.69e-13,6.205e-15,3.377e-14,0.0,4.436e-12,3.286e-14
2454594.79,3.456e-12,5.326e-15,6.169e-13,2.463e-15,3.507e-14,0.0,4.108e-12,5.868e-15
2454595.69,3.37e-12,1.231e-14,6.389e-13,4.09e-15,3.549e-14,0.0,4.044e-12,1.297e-14
2454624.64,9.305e-13,1.469e-14,2.666e-13,4.587e-15,0.0,0.0,1.197e-12,1.539e-14
2454627.71,8.727e-13,2.812e-15,2.2e-13,1.923e-15,0.0,0.0,1.093e-12,3.406e-15
2454628.66,8.684e-13,5.444e-15,2.354e-13,3.619e-15,0.0,0.0,1.104e-12,6.537e-15
2454646.62,6.124e-13,1.231e-14,1.632e-13,4.76e-15,0.0,0.0,7.756e-13,1.32e-14
2454653.59,5.386e-13,1.361e-14,1.355e-13,3.891e-15,0.0,0.0,6.74e-13,1.415e-14
2454654.61,5.252e-13,1.441e-14,1.329e-13,5.06e-15,0.0,0.0,6.581e-13,1.528e-14
