JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454551.56,1.38e-12,8.709e-15,5.906e-13,4.765e-15,1.525e-13,1.93e-15,2.124e-12,1.011e-14
2454552.57,1.758e-12,2.209e-14,2.311e-13,2.201e-15,1.453e-13,1.771e-15,2.134e-12,2.227e-14
2454554.59,1.75e-12,1.605e-14,2.057e-13,2.41e-15,1.412e-13,1.786e-15,2.097e-12,1.633e-14
2454560.58,1.555e-12,6.522e-15,1.981e-13,2.367e-15,1.048e-13,1.396e-15,1.858e-12,7.077e-15
2454561.66,1.487e-12,4.522e-15,1.992e-13,2.922e-15,1.052e-13,3.454e-15,1.791e-12,6.396e-15
2454568.57,1.354e-12,1.553e-14,2.433e-13,3.27e-15,4.509e-14,1.2619999999999999e-29,1.642e-12,1.587e-14
2454569.6,1.266e-12,1.636e-14,2.329e-13,5.084e-15,1.417e-13,5.048999999999999e-29,1.64e-12,1.713e-14
2454572.56,1.251e-12,1.767e-14,2.437e-13,5.614e-15,1.393e-13,0.0,1.634e-12,1.854e-14
2454574.53,1.234e-12,1.831e-14,2.498e-13,5.201e-15,1.3e-13,0.0,1.614e-12,1.904e-14
2454591.51,1.065e-12,1.273e-14,2.545e-13,5.059e-15,6.962e-14,1.2619999999999999e-29,1.389e-12,1.37e-14
2454596.58,1.042e-12,6.087e-15,2.539e-13,1.981e-15,6.091e-14,0.0,1.357e-12,6.402e-15
2454597.54,1.089e-12,1.19e-14,2.648e-13,5.48e-15,5.785e-14,2.5239999999999998e-29,1.411e-12,1.31e-14
2454616.48,9.16e-13,1.604e-14,2.462e-13,4.004e-15,4.655e-14,0.0,1.209e-12,1.654e-14
