JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454572.9,1.408e-10,1.529e-12,2.522e-11,2.011e-13,9.344e-12,6.965e-14,1.753e-10,1.544e-12
2454582.91,1.552e-10,1.8e-12,3.669e-11,2.286e-13,6.404e-12,3.371e-14,1.983e-10,1.815e-12
2454583.91,1.547e-10,1.701e-12,3.478e-11,1.369e-13,6.162e-12,2.517e-14,1.957e-10,1.707e-12
2454587.87,1.603e-10,1.892e-12,2.478e-11,1.688e-13,4.602e-12,8.078000000000001e-28,1.897e-10,1.899e-12
2454592.92,1.617e-10,1.968e-12,2.492e-11,2.175e-13,3.924e-12,8.078000000000001e-28,1.905e-10,1.98e-12
2454595.89,1.67e-10,2.039e-12,2.777e-11,2.414e-13,3.592e-12,4.039000000000001e-28,1.984e-10,2.053e-12
2454597.88,1.658e-10,2.109e-12,2.792e-11,2.432e-13,3.414e-12,4.039000000000001e-28,1.972e-10,2.123e-12
2454599.92,1.634e-10,2.21e-12,3.053e-11,3.595e-13,3.21e-12,1.616e-27,1.972e-10,2.239e-12
2454599.95,1.646e-10,1.584e-12,2.122e-11,5.777e-14,3.246e-12,0.0,1.891e-10,1.585e-12
2454602.9,1.626e-10,2.267e-13,2.164e-11,5.642e-14,3.04e-12,4.039000000000001e-28,1.873e-10,2.336e-13
2454606.82,1.653e-10,2.107e-12,3.1e-11,3.157e-13,2.809e-12,4.039000000000001e-28,1.991e-10,2.131e-12
2454607.91,1.637e-10,2.758e-13,2.219e-11,5.817e-14,2.755e-12,1.212e-27,1.886e-10,2.819e-13
2454616.81,1.699e-10,2.301e-12,3.422e-11,3.018e-13,2.386e-12,0.0,2.066e-10,2.321e-12
2454624.86,1.688e-10,2.313e-12,2.734e-11,2.469e-13,2.146e-12,0.0,1.983e-10,2.326e-12
2454628.8,1.659e-10,2.12e-12,2.634e-11,2.411e-13,2.039e-12,1.212e-27,1.943e-10,2.134e-12
2454630.85,1.645e-10,2.177e-12,2.605e-11,2.983e-13,1.988e-12,8.078000000000001e-28,1.925e-10,2.197e-12
2454644.73,1.515e-10,2.021e-12,2.429e-11,2.885e-13,1.657e-12,0.0,1.775e-10,2.042e-12
2454646.74,1.492e-10,1.979e-12,2.384e-11,2.385e-13,1.61e-12,2.019e-28,1.746e-10,1.993e-12
2454648.94,1.453e-10,1.965e-12,2.38e-11,3.377e-13,1.539e-12,2.019e-28,1.706e-10,1.994e-12
2454650.84,1.382e-10,1.872e-12,1.805e-11,1.815e-13,1.599e-11,3.231e-27,1.723e-10,1.881e-12
2454651.85,1.367e-10,1.937e-12,1.79e-11,1.876e-13,1.564e-11,3.231e-27,1.702e-10,1.946e-12
2454653.91,1.334e-10,1.915e-12,1.762e-11,2.133e-13,1.464e-11,6.462e-27,1.657e-10,1.926e-12
2454654.9,1.324e-10,1.903e-12,1.762e-11,2.617e-13,1.497e-11,3.231e-27,1.65e-10,1.921e-12
2454724.6,1.531e-11,3.588e-14,3.059e-12,1.871e-14,0.0,0.0,1.836e-11,4.047e-14
2454725.64,1.52e-11,3.865e-14,2.988e-12,1.877e-14,0.0,0.0,1.818e-11,4.296e-14
2454725.74,1.512e-11,2.877e-14,2.973e-12,1.984e-14,0.0,0.0,1.809e-11,3.495e-14
2454726.66,1.493e-11,3.384e-14,2.968e-12,1.646e-14,0.0,0.0,1.79e-11,3.762e-14
2454728.61,1.459e-11,3.28e-14,2.918e-12,1.45e-14,0.0,0.0,1.75e-11,3.586e-14
2454728.7,1.45e-11,2.463e-14,2.824e-12,1.445e-14,0.0,0.0,1.732e-11,2.856e-14
