JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454558.73,1.793e-12,1.245e-14,2.402e-13,2.047e-15,3.128e-13,1.01e-28,2.346e-12,1.261e-14
2454559.84,1.863e-12,3.301e-15,1.188e-13,5.559e-16,2.909e-13,5.048999999999999e-29,2.273e-12,3.348e-15
2454560.75,1.701e-12,3.799e-15,2.27e-13,1.319e-15,2.602e-13,5.048999999999999e-29,2.188e-12,4.022e-15
2454562.72,1.635e-12,3.887e-15,2.204e-13,1.347e-15,2.541e-13,5.048999999999999e-29,2.11e-12,4.114e-15
2454564.75,1.564e-12,2.917e-15,2.261e-13,1.042e-15,2.152e-13,0.0,2.005e-12,3.097e-15
2454569.82,1.398e-12,4.186e-15,2.07e-13,1.418e-15,1.552e-13,5.048999999999999e-29,1.761e-12,4.42e-15
2454570.69,1.356e-12,3.317e-15,2.096e-13,1.269e-15,1.413e-13,5.048999999999999e-29,1.706e-12,3.551e-15
2454572.74,1.319e-12,4.802e-15,1.899e-13,1.967e-15,1.469e-13,2.5239999999999998e-29,1.655e-12,5.189e-15
2454573.7,1.28e-12,4.945e-15,1.894e-13,2.003e-15,1.05e-13,2.5239999999999998e-29,1.575e-12,5.335e-15
2454574.69,1.249e-12,5.911e-15,1.87e-13,1.951e-15,1.099e-13,0.0,1.546e-12,6.225e-15
2454575.72,1.219e-12,6.048e-15,1.896e-13,2.02e-15,1.247e-13,2.5239999999999998e-29,1.533e-12,6.376e-15
2454578.79,1.12e-12,5.405e-15,1.801e-13,1.637e-15,8.366e-14,1.2619999999999999e-29,1.383e-12,5.648e-15
2454583.71,9.88e-13,2.639e-15,1.701e-13,1.51e-15,5.73e-14,1.2619999999999999e-29,1.215e-12,3.041e-15
2454588.76,8.533e-13,2.2e-15,1.479e-13,2.839e-15,4.008e-14,6.311000000000001e-30,1.041e-12,3.591e-15
2454589.71,8.298e-13,2.529e-15,1.585e-13,1.379e-15,3.686e-14,6.311000000000001e-30,1.025e-12,2.881e-15
2454592.73,7.724e-13,2.643e-15,1.517e-13,1.513e-15,2.84e-14,6.311000000000001e-30,9.525e-13,3.046e-15
2454593.78,7.03e-13,2.202e-15,1.381e-13,2.877e-15,1.388e-13,0.0,9.798e-13,3.623e-15
2454602.68,6.476e-13,3.103e-15,6.938e-14,8.954e-16,8.902e-14,0.0,8.06e-13,3.229e-15
2454606.66,5.316e-13,6.537e-15,1.499e-13,1.252e-14,7.243e-14,1.2619999999999999e-29,7.539e-13,1.412e-14
2454616.58,3.324e-13,4.582e-15,1.071e-13,9.292e-15,4.218e-14,0.0,4.817e-13,1.036e-14
