JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454566.67,1.248e-12,1.063e-14,7.688e-14,1.148e-15,1.675e-13,2.5239999999999998e-29,1.493e-12,1.069e-14
2454568.65,1.215e-12,1.136e-14,8.331e-14,1.441e-15,1.276e-13,0.0,1.426e-12,1.146e-14
2454571.56,1.169e-12,1.173e-14,9.063e-14,1.459e-15,9.047e-14,0.0,1.35e-12,1.182e-14
2454572.62,1.057e-12,1.155e-14,9.402e-14,1.375e-15,2.86e-13,5.048999999999999e-29,1.437e-12,1.163e-14
2454573.59,1.051e-12,1.241e-14,1.016e-13,1.7e-15,2.671e-13,1.01e-28,1.42e-12,1.252e-14
2454574.6,1.035e-12,1.21e-14,9.892e-14,1.896e-15,2.546e-13,5.048999999999999e-29,1.389e-12,1.225e-14
2454580.61,1.062e-12,1.298e-14,1.026e-13,2.243e-15,2.104e-13,2.5239999999999998e-29,1.375e-12,1.318e-14
2454591.56,1.115e-12,1.397e-14,1.247e-13,2.082e-15,1.939e-13,7.573e-29,1.433e-12,1.412e-14
2454599.58,1.138e-12,1.561e-14,1.45e-13,2.874e-15,1.67e-13,5.048999999999999e-29,1.45e-12,1.588e-14
2454616.51,1.125e-12,1.611e-14,1.655e-13,3.01e-15,1.293e-13,5.048999999999999e-29,1.419e-12,1.639e-14
2454630.48,1.066e-12,1.678e-14,1.551e-13,3.794e-15,1.098e-13,1.2619999999999999e-29,1.331e-12,1.72e-14
2454648.48,9.172e-13,1.412e-14,1.342e-13,2.514e-15,9.636e-14,1.2619999999999999e-29,1.148e-12,1.434e-14
