JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454744.87,2.187e-12,9.005e-15,2.662e-13,4.02e-15,3.323e-13,1.01e-28,2.786e-12,9.862e-15
2454746.84,2.16e-12,5.727e-15,2.686e-13,2.673e-15,3.019e-13,1.01e-28,2.73e-12,6.32e-15
2454747.79,2.138e-12,7.215e-15,2.734e-13,2.344e-15,2.637e-13,0.0,2.675e-12,7.586e-15
2454749.79,2.122e-12,8.713e-15,2.789e-13,2.214e-15,2.841e-13,5.048999999999999e-29,2.685e-12,8.99e-15
2454751.85,2.138e-12,2.118e-14,2.994e-13,2.729e-15,2.789e-13,0.0,2.717e-12,2.136e-14
2454752.73,2.115e-12,4.761e-15,2.707e-13,1.884e-15,2.749e-13,5.048999999999999e-29,2.66e-12,5.12e-15
2454752.83,2.144e-12,1.203e-14,2.818e-13,2.056e-15,2.744e-13,1.01e-28,2.7e-12,1.22e-14
2454753.85,2.067e-12,1.467e-14,2.931e-13,2.462e-15,2.696e-13,5.048999999999999e-29,2.63e-12,1.488e-14
2454757.81,2.084e-12,6.534e-15,2.728e-13,2.872e-15,2.509e-13,5.048999999999999e-29,2.608e-12,7.137e-15
2454759.82,2.046e-12,8.254e-15,2.682e-13,2.79e-15,2.416e-13,5.048999999999999e-29,2.556e-12,8.713e-15
2454764.79,1.93e-12,8.18e-15,2.452e-13,4.481e-15,2.185e-13,7.573e-29,2.394e-12,9.327e-15
2454768.79,1.865e-12,6.983e-15,2.494e-13,3.569e-15,2.021e-13,7.573e-29,2.317e-12,7.842e-15
2454770.76,1.812e-12,7.718e-15,2.443e-13,3.701e-15,2.034e-13,0.0,2.26e-12,8.56e-15
2454774.75,1.753e-12,5.483e-15,2.233e-13,2.853e-15,1.77e-13,5.048999999999999e-29,2.154e-12,6.181e-15
2454775.77,1.721e-12,5.596e-15,2.103e-13,3.238e-15,1.706e-13,5.048999999999999e-29,2.101e-12,6.465e-15
2454781.78,1.506e-12,8.111e-15,2.411e-13,3.192e-15,1.469e-13,2.5239999999999998e-29,1.894e-12,8.716e-15
2454782.78,1.507e-12,6.618e-15,2.316e-13,3.322e-15,1.432e-13,0.0,1.882e-12,7.405e-15
2454786.81,1.386e-12,1.545e-14,2.13e-13,3.593e-15,1.288e-13,2.5239999999999998e-29,1.728e-12,1.586e-14
2454787.78,1.319e-12,6.924e-15,1.934e-13,3.672e-15,1.255e-13,2.5239999999999998e-29,1.638e-12,7.838e-15
2454792.73,1.108e-12,7.29e-15,1.528e-13,3.703e-15,1.029e-13,1.2619999999999999e-29,1.364e-12,8.177e-15
2454793.73,1.051e-12,7.612e-15,1.466e-13,3.984e-15,1.066e-13,3.7869999999999997e-29,1.304e-12,8.591e-15
2454797.77,8.393e-13,6.962e-15,1.144e-13,3.289e-15,9.53e-14,2.5239999999999998e-29,1.049e-12,7.7e-15
2454804.67,5.676e-13,9.18e-15,8.693e-14,2.89e-15,7.825e-14,2.5239999999999998e-29,7.328e-13,9.624e-15
