JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454753.76,2.092e-12,8.84e-15,1.715e-13,2.259e-15,4.414e-13,9.318e-15,2.705e-12,1.304e-14
2454755.75,2.034e-12,9.258e-15,1.763e-13,2.781e-15,3.797e-13,9.505e-15,2.59e-12,1.356e-14
2454756.74,2.001e-12,7.549e-15,1.898e-13,2.344e-15,3.255e-13,6.149e-15,2.516e-12,1.001e-14
2454756.75,1.708e-12,3.914e-15,1.865e-13,1.022e-15,4.441e-13,1.01e-28,2.338e-12,4.045e-15
2454758.71,1.673e-12,5.77e-15,1.86e-13,1.659e-15,4.073e-13,5.048999999999999e-29,2.266e-12,6.003e-15
2454759.76,1.657e-12,5.233e-15,1.887e-13,4.06e-15,3.872e-13,1.01e-28,2.233e-12,6.624e-15
2454760.75,1.632e-12,4.284e-15,1.829e-13,3.056e-15,3.759e-13,5.048999999999999e-29,2.191e-12,5.262e-15
2454768.72,1.461e-12,5.18e-15,1.722e-13,1.529e-15,2.416e-13,5.048999999999999e-29,1.875e-12,5.401e-15
2454769.78,1.449e-12,4.529e-15,1.851e-13,1.13e-15,2.381e-13,5.048999999999999e-29,1.872e-12,4.667e-15
2454770.66,1.439e-12,4.722e-15,1.612e-13,6.695e-15,2.324e-13,5.048999999999999e-29,1.832e-12,8.193e-15
2454779.69,1.24e-12,5.278e-15,1.597e-13,2.968e-15,1.523e-13,0.0,1.552e-12,6.055e-15
2454780.68,1.23e-12,4.69e-15,1.725e-13,3.443e-15,1.415e-13,5.048999999999999e-29,1.543e-12,5.818e-15
2454786.7,1.142e-12,5.019e-15,1.525e-13,2.93e-15,1.153e-13,5.048999999999999e-29,1.41e-12,5.811e-15
2454789.72,1.075e-12,4.396e-15,1.519e-13,2.714e-15,9.915e-14,5.048999999999999e-29,1.326e-12,5.167e-15
2454791.7,1.048e-12,3.83e-15,1.509e-13,2.752e-15,9.539e-14,0.0,1.294e-12,4.717e-15
2454792.65,8.758e-13,3.864e-15,2.85e-13,5.584e-15,9.382e-14,2.5239999999999998e-29,1.255e-12,6.79e-15
2454793.67,8.691e-13,3.635e-15,2.746e-13,5.188e-15,8.829e-14,3.7869999999999997e-29,1.232e-12,6.335e-15
2454797.72,8.112e-13,3.708e-15,2.643e-13,5.586e-15,7.891e-14,3.7869999999999997e-29,1.154e-12,6.705e-15
2454806.7,7.453e-13,4.408e-15,2.332e-13,6.257e-15,8.089e-14,1.2619999999999999e-29,1.059e-12,7.653e-15
2454808.67,7.279e-13,4.38e-15,2.258e-13,6.136e-15,6.521e-14,1.2619999999999999e-29,1.019e-12,7.539e-15
2454815.69,6.628e-13,4.515e-15,2.138e-13,7.319e-15,6.125e-14,1.2619999999999999e-29,9.378e-13,8.6e-15
2454821.58,6.155e-13,5.913e-15,2.032e-13,9.436e-15,5.305e-14,2.5239999999999998e-29,8.718e-13,1.114e-14
2454827.63,5.818e-13,8.039e-15,1.928e-13,1.386e-14,4.273e-14,1.2619999999999999e-29,8.173e-13,1.602e-14
