JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454770.54,3.965e-12,6.896e-15,1.683e-13,1.049e-15,2.708e-12,3.073e-14,6.841e-12,3.151e-14
2454771.62,3.906e-12,5.299e-15,1.7e-13,7.589e-16,2.516e-12,1.934e-14,6.592e-12,2.006e-14
2454772.61,3.872e-12,7.521e-15,1.777e-13,1.279e-15,2.32e-12,2.759e-14,6.369e-12,2.862e-14
2454777.61,3.429e-12,5.744e-15,1.761e-13,1.012e-15,1.653e-12,1.625e-14,5.258e-12,1.726e-14
2454778.61,3.369e-12,4.204e-15,1.725e-13,7.976e-16,7.954e-13,2.581e-14,4.337e-12,2.616e-14
2454779.56,3.271e-12,6.216e-15,1.679e-13,1.553e-15,7.456e-13,3.029e-28,4.185e-12,6.407e-15
2454781.58,3.14e-12,6.116e-15,1.662e-13,1.737e-15,6.458e-13,0.0,3.952e-12,6.358e-15
2454782.62,3.053e-12,3.872e-15,1.654e-13,2.603e-15,5.751e-13,1.01e-28,3.793e-12,4.666e-15
2454783.59,2.993e-12,5.72e-15,1.665e-13,2.387e-15,5.225e-13,3.029e-28,3.682e-12,6.199e-15
2454785.62,2.879e-12,5.428e-15,1.752e-13,2.362e-15,4.395e-13,1.515e-28,3.494e-12,5.92e-15
2454786.62,2.815e-12,4.861e-15,1.728e-13,1.912e-15,3.946e-13,5.048999999999999e-29,3.382e-12,5.224e-15
2454787.66,2.755e-12,3.703e-15,1.79e-13,1.387e-15,3.579e-13,5.048999999999999e-29,3.292e-12,3.955e-15
2454790.61,2.612e-12,5.241e-15,2.119e-13,9.586e-16,2.653e-13,0.0,3.089e-12,5.328e-15
2454795.59,2.388e-12,5.518e-15,2.206e-13,1.059e-15,1.655e-13,0.0,2.774e-12,5.619e-15
2454798.67,2.281e-12,4.083e-15,2.215e-13,9.665e-16,1.29e-13,2.5239999999999998e-29,2.632e-12,4.195e-15
2454799.6,2.258e-12,3.849e-15,2.095e-13,1.187e-15,1.189e-13,2.5239999999999998e-29,2.587e-12,4.028e-15
2454803.64,2.127e-12,2.382e-14,2.045e-13,2.606e-15,9.014e-14,2.5239999999999998e-29,2.422e-12,2.396e-14
2454809.6,1.918e-12,2.297e-14,1.941e-13,3.192e-15,5.543e-14,1.893e-29,2.167e-12,2.319e-14
2454814.53,1.793e-12,2.162e-14,1.96e-13,2.951e-15,4.378e-14,6.311000000000001e-30,2.033e-12,2.182e-14
2454824.6,1.549e-12,1.967e-14,1.882e-13,2.58e-15,2.351e-14,6.311000000000001e-30,1.761e-12,1.984e-14
2454831.54,1.343e-12,1.852e-14,1.751e-13,3.055e-15,1.644e-13,2.5239999999999998e-29,1.682e-12,1.877e-14
2454844.6,1.067e-12,1.571e-14,1.548e-13,3.358e-15,1.099e-13,3.7869999999999997e-29,1.332e-12,1.606e-14
