JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454788.78,5.603e-13,4.609e-15,2.437e-14,4.001e-16,3.269e-13,8.414e-15,9.116e-13,9.602e-15
2454789.76,5.727e-13,2.97e-15,2.554e-14,4.712e-16,3.098e-13,8.546e-15,9.08e-13,9.06e-15
2454790.7,5.745e-13,2.724e-15,2.612e-14,4.654e-16,2.968e-13,7.92e-15,8.973e-13,8.388e-15
2454792.62,5.823e-13,3.15e-15,2.902e-14,5.073e-16,2.501e-13,5.34e-15,8.614e-13,6.221e-15
2454793.64,5.861e-13,2.66e-15,3.177e-14,5.184e-16,2.262e-13,4.716e-15,8.441e-13,5.439e-15
2454794.69,5.884e-13,2.429e-15,3.528e-14,2.96e-16,1.983e-13,2.11e-15,8.219e-13,3.231e-15
2454795.7,5.956e-13,2.83e-15,4.014e-14,5.752e-16,1.723e-13,3.04e-15,8.081e-13,4.193e-15
2454796.74,5.879e-13,2.791e-15,4.099e-14,2.875e-16,1.588e-13,1.694e-15,7.877e-13,3.278e-15
2454798.72,5.938e-13,2.847e-15,5.223e-14,8.124e-16,1.186e-13,2.105e-15,7.646e-13,3.633e-15
2454799.71,5.824e-13,2.768e-15,5.006e-14,3.972e-16,1.173e-13,1.257e-15,7.497e-13,3.066e-15
2454801.74,5.786e-13,3.019e-15,5.301e-14,4.579e-16,9.828e-14,1.181e-15,7.299e-13,3.274e-15
2454802.66,5.806e-13,2.753e-15,5.493e-14,4.487e-16,9.121e-14,1.064e-15,7.267e-13,2.986e-15
2454803.73,5.893e-13,3.138e-15,5.548e-14,4.935e-16,9.505e-14,1.298e-15,7.398e-13,3.431e-15
2454807.65,5.459e-13,3.288e-15,5.827e-14,6.617e-16,1.154e-13,0.0,7.196e-13,3.354e-15
2454810.67,5.535e-13,3.287e-15,6.289e-14,6.229e-16,9.565e-14,3.7869999999999997e-29,7.121e-13,3.346e-15
2454812.54,5.597e-13,3.679e-15,7.079e-14,7.187e-16,1.002e-13,1.2619999999999999e-29,7.306e-13,3.749e-15
2454814.65,5.713e-13,3.874e-15,6.961e-14,6.93e-16,1.029e-13,2.5239999999999998e-29,7.438e-13,3.936e-15
2454827.6,6.546e-13,4.78e-15,1.058e-13,1.282e-15,8.47e-14,2.5239999999999998e-29,8.45e-13,4.949e-15
2454829.64,6.721e-13,5.644e-15,1.097e-13,1.775e-15,8.408e-14,3.7869999999999997e-29,8.659e-13,5.917e-15
