JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454798.76,1.471e-12,1.235e-14,8.3e-14,8.751e-16,5.882e-13,9.815e-15,2.142e-12,1.58e-14
2454801.81,1.46e-12,1.325e-14,9.457e-14,9.676e-16,4.639e-13,6.983e-15,2.019e-12,1.501e-14
2454802.69,1.486e-12,1.314e-14,9.514e-14,1.081e-15,4.667e-13,8.013e-15,2.047e-12,1.543e-14
2454803.76,1.508e-12,1.41e-14,1.021e-13,1.454e-15,2.683e-13,6.633e-15,1.879e-12,1.565e-14
2454806.67,1.476e-12,1.471e-14,1.156e-13,1.592e-15,1.889e-13,0.0,1.781e-12,1.479e-14
2454808.7,1.44e-12,1.484e-14,1.212e-13,1.604e-15,1.248e-13,2.5239999999999998e-29,1.686e-12,1.493e-14
2454809.67,1.427e-12,1.529e-14,1.289e-13,2.001e-15,1.236e-13,2.5239999999999998e-29,1.68e-12,1.542e-14
2454813.68,1.413e-12,1.659e-14,1.317e-13,2.49e-15,8.451e-14,0.0,1.629e-12,1.678e-14
2454818.68,1.393e-12,1.67e-14,1.487e-13,2.873e-15,4.917e-14,1.2619999999999999e-29,1.59e-12,1.695e-14
2454821.62,1.4e-12,1.766e-14,1.651e-13,3.426e-15,4.526e-14,1.2619999999999999e-29,1.61e-12,1.799e-14
2454827.67,1.472e-12,1.954e-14,1.833e-13,3.755e-15,3.608e-14,6.311000000000001e-30,1.691e-12,1.99e-14
