JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454816.83,1.152e-11,4.704e-14,3.922e-13,6.307e-15,1.328e-11,3.754e-13,2.52e-11,3.784e-13
2454818.79,1.153e-11,2.098e-14,4.513e-13,2.968e-15,9.645e-12,1.124e-13,2.162e-11,1.144e-13
2454819.77,1.153e-11,1.321e-14,4.774e-13,1.925e-15,8.528e-12,5.84e-14,2.054e-11,5.99e-14
2454820.82,1.145e-11,1.901e-14,5.009e-13,3.09e-15,7.499e-12,8.226e-14,1.945e-11,8.448e-14
2454821.75,1.12e-11,1.744e-14,5.116e-13,3.075e-15,6.708e-12,6.356e-14,1.842e-11,6.598e-14
2454822.76,1.091e-11,1.271e-14,5.149e-13,2.1e-15,6.117e-12,3.784e-14,1.754e-11,3.997e-14
2454823.85,1.049e-11,1.336e-14,5.178e-13,2.44e-15,5.459e-12,3.704e-14,1.646e-11,3.946e-14
2454824.83,1.006e-11,1.853e-14,5.211e-13,3.319e-15,4.825e-12,4.508e-14,1.541e-11,4.885e-14
2454828.85,8.507e-12,1.118e-14,5.131e-13,1.8e-15,1.73e-12,0.0,1.075e-11,1.133e-14
2454829.82,8.201e-12,1.018e-14,5.151e-13,1.557e-15,1.569e-12,6.058e-28,1.029e-11,1.029e-14
2454830.76,7.899e-12,1.278e-14,5.175e-13,1.453e-15,1.445e-12,2.019e-28,9.861e-12,1.287e-14
2454831.85,7.633e-12,1.058e-14,5.191e-13,1.33e-15,1.28e-12,0.0,9.432e-12,1.066e-14
2454832.84,7.389e-12,8.005e-15,5.107e-13,2.438e-15,1.129e-12,2.019e-28,9.028e-12,8.368e-15
2454833.84,7.175e-12,8.718e-15,5.215e-13,1.543e-15,1.004e-12,0.0,8.701e-12,8.854e-15
2454834.86,6.98e-12,1.209e-14,5.1e-13,2.022e-15,8.696e-13,3.029e-28,8.36e-12,1.226e-14
2454837.86,6.424e-12,1.141e-14,5.22e-13,2.358e-15,6.19e-13,1.01e-28,7.565e-12,1.165e-14
2454838.86,6.258e-12,1.127e-14,4.871e-13,3.918e-15,5.527e-13,1.01e-28,7.298e-12,1.194e-14
2454839.81,6.078e-12,1.074e-14,5.026e-13,2.699e-15,4.986e-13,1.01e-28,7.079e-12,1.107e-14
2454840.77,5.93e-12,1.073e-14,5.067e-13,2.107e-15,4.443e-13,1.01e-28,6.881e-12,1.094e-14
2454840.78,5.933e-12,7.182e-15,4.929e-13,1.796e-15,4.439e-13,0.0,6.87e-12,7.403e-15
2454841.77,5.752e-12,1.166e-14,5.034e-13,2.331e-15,3.92e-13,1.515e-28,6.648e-12,1.189e-14
2454844.76,5.404e-12,8.481e-15,4.953e-13,2.188e-15,2.922e-13,0.0,6.192e-12,8.759e-15
2454845.78,5.317e-12,8.817e-15,5.08e-13,1.913e-15,2.755e-13,0.0,6.101e-12,9.022e-15
2454846.86,5.196e-12,8.982e-15,5.118e-13,1.923e-15,2.417e-13,5.048999999999999e-29,5.95e-12,9.186e-15
2454853.83,4.55e-12,1.22e-14,4.806e-13,2.269e-15,1.447e-13,0.0,5.176e-12,1.241e-14
2454855.79,4.38e-12,1.831e-14,4.356e-13,4.344e-15,1.285e-13,2.5239999999999998e-29,4.944e-12,1.882e-14
2454869.63,3.741e-12,9.988e-14,4.315e-13,5.618e-15,5.809e-14,2.5239999999999998e-29,4.23e-12,1e-13
2454872.75,3.635e-12,9.014e-14,4.301e-13,6.377e-15,4.881e-14,6.311000000000001e-30,4.114e-12,9.037e-14
2454879.69,3.205e-12,2.803e-14,4.212e-13,4.735e-15,3.38e-14,0.0,3.66e-12,2.843e-14
2454882.63,2.951e-12,5.012e-15,3.94e-13,1.629e-15,2.999e-14,6.311000000000001e-30,3.375e-12,5.27e-15
2454883.67,2.846e-12,8.786e-15,3.821e-13,3.145e-15,2.914e-14,1.2619999999999999e-29,3.257e-12,9.331e-15
2454885.6,2.647e-12,1.437e-14,3.804e-13,4.056e-15,2.638e-14,1.2619999999999999e-29,3.054e-12,1.494e-14
2454890.68,1.965e-12,1.354e-14,3.269e-13,2.38e-15,1.617e-13,0.0,2.453e-12,1.375e-14
2454898.59,1.19e-12,3.422e-14,2.154e-13,5.745e-15,7.236e-14,1.2619999999999999e-29,1.477e-12,3.47e-14
2454912.76,7.292e-13,1.553e-14,1.664e-13,3.994e-15,0.0,0.0,8.956e-13,1.603e-14
2454917.6,7.107e-13,3.951e-15,1.424e-13,2.048e-15,0.0,0.0,8.53e-13,4.45e-15
2454919.6,7.111e-13,8.693e-15,1.395e-13,1.917e-15,0.0,0.0,8.506e-13,8.902e-15
