JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454837.84,2.048e-11,1.543e-13,1.119e-12,8.241e-15,4.415e-12,0.0,2.601e-11,1.545e-13
2454838.83,2.064e-11,1.647e-13,1.209e-12,1.507e-14,3.957e-12,8.078000000000001e-28,2.581e-11,1.654e-13
2454839.85,2.025e-11,1.672e-13,1.191e-12,1.593e-14,3.491e-12,0.0,2.494e-11,1.68e-13
2454840.8,1.977e-11,1.63e-13,1.229e-12,1.316e-14,3.043e-12,0.0,2.405e-11,1.636e-13
2454841.8,1.947e-11,1.725e-13,1.334e-12,2.073e-14,2.682e-12,4.039000000000001e-28,2.349e-11,1.737e-13
2454844.87,1.838e-11,1.704e-13,1.323e-12,1.813e-14,1.8e-12,8.078000000000001e-28,2.15e-11,1.713e-13
2454855.87,1.668e-11,1.891e-13,1.648e-12,2.017e-14,7.266e-13,1.01e-28,1.905e-11,1.902e-13
2454856.78,1.656e-11,1.795e-13,1.656e-12,2.249e-14,6.775e-13,2.019e-28,1.889e-11,1.809e-13
2454858.82,1.646e-11,1.869e-13,1.731e-12,2.388e-14,6.156e-13,1.01e-28,1.881e-11,1.884e-13
2454867.8,1.619e-11,2.06e-13,1.892e-12,3.291e-14,4.124e-13,1.515e-28,1.849e-11,2.086e-13
2454883.81,1.489e-11,1.947e-13,2.036e-12,2.28e-14,2.158e-13,0.0,1.714e-11,1.961e-13
2454898.71,1.342e-11,1.799e-13,1.905e-12,2.037e-14,1.643e-13,2.5239999999999998e-29,1.549e-11,1.81e-13
2454928.64,8.231e-12,1.161e-13,1.277e-12,1.492e-14,6.933e-14,1.2619999999999999e-29,9.577e-12,1.17e-13
2454931.67,5.923e-12,9.436e-14,1.089e-12,1.934e-14,5.444e-13,1.01e-28,7.556e-12,9.632e-14
