JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454837.54,2.681e-12,1.961e-14,1.172e-13,1.241e-15,1.77e-12,3.267e-14,4.568e-12,3.813e-14
2454838.54,2.575e-12,1.977e-14,1.229e-13,1.133e-15,1.431e-12,2.276e-14,4.129e-12,3.017e-14
2454839.54,2.398e-12,1.828e-14,1.138e-13,1.297e-15,1.084e-12,3.644e-13,3.596e-12,3.648e-13
2454840.54,2.23e-12,1.756e-14,1.134e-13,1.338e-15,4.674e-13,2.019e-28,2.811e-12,1.761e-14
2454841.54,2.141e-12,1.782e-14,1.14e-13,2.27e-15,4.752e-13,1.01e-28,2.731e-12,1.797e-14
2454842.55,1.924e-12,1.564e-14,1.041e-13,1.46e-15,3.713e-13,1.01e-28,2.399e-12,1.571e-14
2454845.55,1.454e-12,1.314e-14,8.446e-14,1.692e-15,2.184e-13,2.5239999999999998e-29,1.757e-12,1.325e-14
2454848.55,1.062e-12,1.021e-14,7.521e-14,1.378e-15,1.048e-13,0.0,1.242e-12,1.03e-14
2454855.53,9.619e-13,9.92e-15,5.686e-14,1.68e-15,1.061e-13,1.2619999999999999e-29,1.125e-12,1.006e-14
2454856.54,1.002e-12,9.623e-15,6.375e-14,1.319e-15,1.235e-13,0.0,1.189e-12,9.713e-15
2454866.53,1.714e-12,1.462e-14,8.841e-14,1.861e-15,3.216e-13,1.01e-28,2.124e-12,1.473e-14
2454870.54,1.682e-12,1.46e-14,8.792e-14,1.724e-15,2.985e-13,5.048999999999999e-29,2.069e-12,1.47e-14
