JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454857.8,7.524e-12,3.028e-14,3.953e-13,5.562e-15,3.176e-12,7.724e-14,1.109e-11,8.315e-14
2454859.78,7.47e-12,1.239e-14,4.334e-13,3.051e-15,2.69e-12,2.829e-14,1.059e-11,3.103e-14
2454860.79,7.435e-12,1.209e-14,4.525e-13,2.999e-15,2.447e-12,2.307e-14,1.033e-11,2.622e-14
2454866.79,7.088e-12,1.286e-14,5.827e-13,6.684e-15,7.293e-13,0.0,8.4e-12,1.45e-14
2454869.76,6.857e-12,1.315e-14,7.204e-13,3.01e-15,4.832e-13,0.0,8.06e-12,1.349e-14
2454870.88,6.828e-12,1.475e-14,7.422e-13,3.169e-15,4.255e-13,1.515e-28,7.995e-12,1.509e-14
2454871.82,6.798e-12,1.371e-14,7.597e-13,3.215e-15,3.849e-13,5.048999999999999e-29,7.942e-12,1.409e-14
2454874.75,6.767e-12,1.425e-14,8.163e-13,3.424e-15,3.166e-13,0.0,7.9e-12,1.465e-14
2454878.82,6.805e-12,1.432e-14,8.93e-13,3.542e-15,2.239e-13,7.573e-29,7.922e-12,1.476e-14
2454879.83,6.843e-12,1.195e-14,9.039e-13,3.316e-15,2.094e-13,5.048999999999999e-29,7.956e-12,1.24e-14
2454884.82,7.052e-12,1.535e-14,9.908e-13,2.856e-15,1.575e-13,2.5239999999999998e-29,8.2e-12,1.561e-14
2454886.79,7.096e-12,1.195e-14,1.019e-12,3.979e-15,1.453e-13,2.5239999999999998e-29,8.261e-12,1.26e-14
2454887.79,7.158e-12,1.28e-14,1.042e-12,3.851e-15,1.388e-13,2.5239999999999998e-29,8.339e-12,1.337e-14
2454888.68,7.171e-12,1.451e-14,1.063e-12,2.789e-15,1.344e-13,0.0,8.368e-12,1.478e-14
2454890.79,7.262e-12,1.356e-14,1.071e-12,3.846e-15,1.232e-13,0.0,8.456e-12,1.409e-14
2454895.86,7.376e-12,1.376e-14,1.135e-12,4.708e-15,1.034e-13,3.7869999999999997e-29,8.614e-12,1.455e-14
2454898.73,7.406e-12,1.342e-14,1.175e-12,2.721e-15,9.439e-14,3.7869999999999997e-29,8.675e-12,1.369e-14
2454901.72,7.41e-12,1.732e-14,1.197e-12,4.546e-15,8.297e-14,0.0,8.689e-12,1.791e-14
2454912.87,7.324e-12,1.763e-14,1.224e-12,5.092e-15,5.173e-14,1.893e-29,8.6e-12,1.835e-14
2454915.7,7.282e-12,1.48e-14,1.238e-12,3.915e-15,4.674e-14,1.2619999999999999e-29,8.567e-12,1.531e-14
2454917.78,7.269e-12,1.595e-14,1.228e-12,4.069e-15,4.705e-14,6.311000000000001e-30,8.544e-12,1.646e-14
2454919.8,7.226e-12,1.472e-14,1.254e-12,5.667e-15,4.547e-14,1.2619999999999999e-29,8.525e-12,1.577e-14
2454928.68,6.563e-12,1.719e-14,1.144e-12,5.683e-15,5.257e-13,1.01e-28,8.233e-12,1.81e-14
2454937.67,5.894e-12,1.435e-14,1.027e-12,4.701e-15,4.482e-13,0.0,7.37e-12,1.51e-14
2454938.68,5.804e-12,1.526e-14,1.005e-12,4.994e-15,4.396e-13,2.019e-28,7.249e-12,1.606e-14
2454945.72,5.055e-12,7.751e-15,8.39e-13,7.334e-15,3.61e-13,5.048999999999999e-29,6.255e-12,1.067e-14
2454946.64,4.904e-12,1.164e-14,8.616e-13,5.334e-15,3.454e-13,1.01e-28,6.111e-12,1.281e-14
2454947.6,4.805e-12,1.051e-14,8.221e-13,5.386e-15,3.357e-13,1.01e-28,5.962e-12,1.181e-14
2454963.58,1.49e-12,3.126e-14,4.673e-13,3.336e-14,6.182e-14,2.5239999999999998e-29,2.02e-12,4.571e-14
