JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454888.71,2.033e-11,3.016e-14,4.826e-13,2.93e-15,5.332e-11,8.078e-13,7.414e-11,8.084e-13
2454891.84,1.897e-11,3.259e-14,5.3e-13,3.096e-15,3.301e-11,4.552e-13,5.251e-11,4.564e-13
2454892.82,1.846e-11,2.963e-14,5.396e-13,3.301e-15,2.886e-11,3.907e-13,4.786e-11,3.919e-13
2454896.8,1.655e-11,2.785e-14,5.656e-13,3.719e-15,1.838e-11,2.126e-13,3.55e-11,2.144e-13
2454897.84,1.579e-11,3.059e-14,5.577e-13,4.246e-15,1.591e-11,2.115e-13,3.226e-11,2.138e-13
2454898.76,1.527e-11,2.067e-14,5.566e-13,3.057e-15,1.439e-11,1.382e-13,3.022e-11,1.397e-13
2454899.8,1.481e-11,1.752e-14,5.546e-13,1.63e-15,1.324e-11,6.435e-14,2.86e-11,6.671e-14
2454900.74,1.434e-11,2.38e-14,6.513e-13,1.363e-15,9.527e-12,5.385e-14,2.452e-11,5.889e-14
2454901.77,1.389e-11,1.576e-14,5.772e-13,1.777e-15,1.024e-11,5.373e-14,2.471e-11,5.602e-14
2454902.71,1.354e-11,1.942e-14,6.552e-13,1.326e-15,7.747e-12,3.975e-14,2.194e-11,4.426e-14
2454907.87,1.191e-11,1.465e-14,5.953e-13,1.93e-15,6.32e-12,3.204e-14,1.883e-11,3.528e-14
2454908.73,1.173e-11,1.808e-14,6.52e-13,1.275e-15,5.395e-12,2.53e-14,1.778e-11,3.113e-14
2454911.8,1.103e-11,3.115e-14,6.696e-13,1.235e-15,4.411e-12,2.718e-14,1.611e-11,4.136e-14
2454913.86,1.057e-11,1.57e-14,5.996e-13,1.742e-15,4.373e-12,1.728e-14,1.555e-11,2.341e-14
2454914.74,1.043e-11,1.759e-14,6.673e-13,1.214e-15,3.675e-12,1.53e-14,1.477e-11,2.334e-14
2454915.76,1.013e-11,1.5e-14,6.651e-13,1.177e-15,3.416e-12,1.478e-14,1.421e-11,2.109e-14
2454917.9,9.779e-12,1.634e-14,6.689e-13,1.248e-15,3.032e-12,1.391e-14,1.348e-11,2.149e-14
2454920.78,9.25e-12,1.361e-14,6.69e-13,1.273e-15,1.645e-12,0.0,1.156e-11,1.367e-14
2454921.87,9.122e-12,1.579e-14,6.371e-13,2.773e-15,1.564e-12,2.019e-28,1.132e-11,1.603e-14
2454927.72,8.283e-12,1.809e-14,6.78e-13,1.061e-15,1.142e-12,2.019e-28,1.01e-11,1.812e-14
2454928.74,8.172e-12,1.383e-14,6.759e-13,1.053e-15,1.107e-12,0.0,9.955e-12,1.387e-14
2454929.8,8.05e-12,1.165e-14,6.262e-13,2.386e-15,1.045e-12,0.0,9.721e-12,1.19e-14
2454930.69,7.975e-12,1.442e-14,6.718e-13,1.064e-15,1.017e-12,4.039000000000001e-28,9.664e-12,1.446e-14
2454931.76,7.851e-12,1.451e-14,6.703e-13,1.035e-15,9.544e-13,2.019e-28,9.476e-12,1.455e-14
2454932.79,7.791e-12,1.297e-14,6.227e-13,2.164e-15,9.19e-13,0.0,9.333e-12,1.315e-14
2454933.69,7.677e-12,1.072e-14,6.657e-13,1.015e-15,8.833e-13,4.039000000000001e-28,9.226e-12,1.077e-14
2454937.75,7.382e-12,1.475e-14,6.669e-13,1.011e-15,7.602e-13,2.019e-28,8.809e-12,1.478e-14
2454938.72,7.296e-12,1.034e-14,6.141e-13,1.933e-15,7.273e-13,2.019e-28,8.637e-12,1.052e-14
2454938.75,7.343e-12,1.958e-14,6.693e-13,1.092e-15,7.18e-13,0.0,8.73e-12,1.961e-14
2454939.81,7.317e-12,1.224e-14,6.447e-13,2.883e-15,6.991e-13,1.01e-28,8.661e-12,1.257e-14
2454946.7,6.914e-12,1.21e-14,6.491e-13,1.126e-15,5.579e-13,2.019e-28,8.121e-12,1.215e-14
2454947.67,6.898e-12,2.346e-14,6.573e-13,1.386e-15,5.225e-13,3.029e-28,8.078e-12,2.351e-14
2454948.77,6.846e-12,1.807e-14,6.588e-13,4.341e-15,5.13e-13,0.0,8.018e-12,1.858e-14
2454949.75,6.82e-12,1.765e-14,6.511e-13,4.456e-15,4.967e-13,1.01e-28,7.968e-12,1.821e-14
2454956.76,6.456e-12,1.315e-14,6.249e-13,1.978e-15,3.953e-13,5.048999999999999e-29,7.476e-12,1.33e-14
2454959.61,6.343e-12,9.849e-15,6.221e-13,1.813e-15,3.595e-13,5.048999999999999e-29,7.325e-12,1.001e-14
2454960.79,6.277e-12,1.255e-14,6.371e-13,1.552e-15,3.517e-13,1.01e-28,7.266e-12,1.264e-14
2454963.65,6.197e-12,1.279e-14,6.443e-13,1.683e-15,3.032e-13,5.048999999999999e-29,7.144e-12,1.29e-14
2454964.63,6.151e-12,1.038e-14,6.477e-13,1.749e-15,3.091e-13,1.01e-28,7.108e-12,1.053e-14
2454966.63,6.064e-12,1.284e-14,6.446e-13,1.915e-15,2.822e-13,1.01e-28,6.991e-12,1.299e-14
2454968.64,6.013e-12,1.534e-14,6.488e-13,2.038e-15,2.673e-13,0.0,6.929e-12,1.547e-14
