JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454895.66,2.1e-12,8.888e-15,3.296e-13,5.899e-15,1.498e-13,8.979e-15,2.58e-12,1.394e-14
2454897.64,2.206e-12,7.396e-15,3.7e-13,4.57e-15,1.708e-13,2.5239999999999998e-29,2.747e-12,8.694e-15
2454898.62,2.313e-12,1.046e-14,4.071e-13,6.647e-15,1.753e-13,2.5239999999999998e-29,2.896e-12,1.24e-14
2454902.61,2.568e-12,1.136e-14,4.724e-13,8.191e-15,1.925e-13,5.048999999999999e-29,3.233e-12,1.4e-14
2454907.66,2.696e-12,5.735e-15,5.181e-13,5.201e-15,1.481e-13,0.0,3.362e-12,7.742e-15
2454908.6,2.693e-12,6.627e-15,5.151e-13,7.505e-15,1.429e-13,2.5239999999999998e-29,3.351e-12,1.001e-14
2454911.63,2.726e-12,5.818e-15,5.402e-13,1.558e-15,1.077e-13,2.5239999999999998e-29,3.374e-12,6.023e-15
2454912.6,2.743e-12,5.225e-15,5.511e-13,2.122e-15,1.1e-13,2.5239999999999998e-29,3.405e-12,5.64e-15
2454913.62,2.751e-12,4.673e-15,5.562e-13,1.767e-15,1.036e-13,2.5239999999999998e-29,3.411e-12,4.996e-15
2454914.54,2.753e-12,6.235e-15,5.644e-13,2.535e-15,9.37e-14,5.048999999999999e-29,3.411e-12,6.731e-15
2454915.53,2.813e-12,6.946e-15,5.668e-13,2.711e-15,1.116e-13,2.5239999999999998e-29,3.492e-12,7.457e-15
2454917.56,2.802e-12,7.021e-15,5.879e-13,3.281e-15,7.539e-14,1.2619999999999999e-29,3.465e-12,7.749e-15
2454920.54,2.873e-12,7.067e-15,6.084e-13,3.515e-15,8.198e-14,2.5239999999999998e-29,3.563e-12,7.893e-15
2454921.63,2.877e-12,6.324e-15,6.26e-13,3.763e-15,7.213e-14,0.0,3.575e-12,7.359e-15
2454927.54,2.893e-12,1.31e-14,6.445e-13,3.974e-15,5.342e-14,1.2619999999999999e-29,3.591e-12,1.369e-14
2454928.52,2.855e-12,8.675e-15,6.508e-13,3.715e-15,5.009e-14,1.2619999999999999e-29,3.556e-12,9.437e-15
2454929.58,2.843e-12,6.173e-15,6.494e-13,4.027e-15,4.649e-14,6.311000000000001e-30,3.539e-12,7.371e-15
2454931.51,2.817e-12,7.71e-15,6.595e-13,3.304e-15,4.015e-14,6.311000000000001e-30,3.517e-12,8.388e-15
2454932.6,2.797e-12,5.691e-15,6.664e-13,3.822e-15,3.676e-14,0.0,3.5e-12,6.856e-15
2454933.52,2.774e-12,7.615e-15,6.65e-13,3.52e-15,3.405e-14,1.893e-29,3.473e-12,8.389e-15
2454937.57,2.657e-12,6.653e-15,6.668e-13,3.547e-15,2.426e-14,3.155e-30,3.348e-12,7.539e-15
2454938.56,2.634e-12,6.611e-15,6.616e-13,3.68e-15,2.246e-14,3.155e-30,3.318e-12,7.566e-15
2454939.63,2.604e-12,5.219e-15,6.607e-13,3.637e-15,2.065e-14,0.0,3.286e-12,6.362e-15
2454942.49,2.515e-12,6.034e-15,6.478e-13,3.32e-15,1.609e-14,3.155e-30,3.179e-12,6.887e-15
2454945.61,2.386e-12,4.955e-15,6.335e-13,3.304e-15,1.049e-13,2.5239999999999998e-29,3.124e-12,5.956e-15
2454946.52,2.378e-12,6.04e-15,6.429e-13,3.225e-15,1.02e-13,2.5239999999999998e-29,3.123e-12,6.847e-15
2454947.51,2.35e-12,5.99e-15,6.45e-13,2.748e-15,9.943e-14,1.2619999999999999e-29,3.095e-12,6.591e-15
2454948.58,2.347e-12,7.057e-15,6.559e-13,4.666e-15,9.61e-14,3.7869999999999997e-29,3.099e-12,8.46e-15
2454949.57,2.321e-12,9.248e-15,6.372e-13,4.882e-15,9.356e-14,2.5239999999999998e-29,3.052e-12,1.046e-14
