JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454907.82,3.99e-12,9.643e-15,1.314e-13,1.183e-15,4.898e-12,7.989e-14,9.019e-12,8.048e-14
2454908.7,3.967e-12,9.14e-15,1.377e-13,1.061e-15,4.354e-12,6.144e-14,8.458e-12,6.212e-14
2454911.77,3.98e-12,1.032e-14,1.555e-13,1.319e-15,3.327e-12,4.759e-14,7.463e-12,4.871e-14
2454913.8,3.854e-12,5.693e-15,1.662e-13,7.795e-16,2.67e-12,1.849e-14,6.69e-12,1.936e-14
2454914.71,3.8e-12,8.886e-15,1.674e-13,1.425e-15,2.552e-12,2.501e-14,6.52e-12,2.658e-14
2454915.73,3.748e-12,9.802e-15,1.742e-13,1.714e-15,2.25e-12,2.96e-14,6.171e-12,3.123e-14
2454917.82,3.58e-12,1.135e-14,1.86e-13,1.277e-15,1.785e-12,1.79e-14,5.551e-12,2.124e-14
2454920.75,3.403e-12,9.239e-15,1.958e-13,1.715e-15,7.193e-13,0.0,4.318e-12,9.397e-15
2454921.82,3.334e-12,7.337e-15,1.981e-13,1.704e-15,6.775e-13,2.019e-28,4.209e-12,7.533e-15
2454927.68,2.862e-12,8.963e-15,1.829e-13,2.684e-15,4.243e-13,5.048999999999999e-29,3.469e-12,9.356e-15
2454928.71,2.807e-12,8.205e-15,1.863e-13,2.405e-15,4.071e-13,1.01e-28,3.401e-12,8.55e-15
2454929.75,2.706e-12,4.279e-15,2.04e-13,1.942e-15,3.536e-13,5.048999999999999e-29,3.264e-12,4.699e-15
2454930.65,2.613e-12,9.164e-15,2.021e-13,2.536e-15,3.219e-13,1.01e-28,3.137e-12,9.508e-15
2454931.73,2.579e-12,1.011e-14,1.95e-13,2.519e-15,3.026e-13,0.0,3.077e-12,1.042e-14
2454932.74,2.499e-12,4.758e-15,2.087e-13,2.322e-15,2.702e-13,0.0,2.978e-12,5.295e-15
2454933.66,2.435e-12,8.504e-15,1.917e-13,3.136e-15,2.402e-13,5.048999999999999e-29,2.866e-12,9.063e-15
2454937.7,2.157e-12,1.195e-14,1.887e-13,5.101e-15,1.648e-13,0.0,2.511e-12,1.3e-14
2454938.71,2.13e-12,1.311e-14,1.799e-13,5.35e-15,1.582e-13,2.5239999999999998e-29,2.468e-12,1.416e-14
2454942.63,1.889e-12,9.61e-15,1.829e-13,4.57e-15,1.107e-13,5.048999999999999e-29,2.183e-12,1.064e-14
2454945.77,1.72e-12,4.147e-15,1.866e-13,2.14e-15,8.198e-14,2.5239999999999998e-29,1.989e-12,4.667e-15
2454946.67,1.683e-12,6.04e-15,1.737e-13,2.241e-15,8.034e-14,2.5239999999999998e-29,1.937e-12,6.442e-15
2454947.63,1.628e-12,6.666e-15,1.713e-13,2.473e-15,6.658e-14,1.2619999999999999e-29,1.865e-12,7.11e-15
2454948.71,1.491e-12,5.648e-15,1.747e-13,2.811e-15,2.539e-13,0.0,1.92e-12,6.309e-15
2454949.7,1.423e-12,7.219e-15,1.677e-13,3.069e-15,2.423e-13,0.0,1.833e-12,7.844e-15
2454959.62,1.159e-12,7.373e-15,1.499e-13,1.4e-15,1.614e-13,0.0,1.47e-12,7.504e-15
2454959.66,1.153e-12,4.695e-15,1.497e-13,1.077e-15,1.569e-13,5.048999999999999e-29,1.459e-12,4.817e-15
2454963.61,1.07e-12,6.618e-15,1.299e-13,3.079e-15,1.417e-13,5.048999999999999e-29,1.342e-12,7.3e-15
2454964.6,1.055e-12,6.509e-15,1.25e-13,2.691e-15,1.293e-13,5.048999999999999e-29,1.309e-12,7.044e-15
2454966.6,1.029e-12,5.665e-15,1.248e-13,2.519e-15,1.209e-13,5.048999999999999e-29,1.275e-12,6.2e-15
2454967.65,1.02e-12,3.551e-15,1.406e-13,2.144e-15,1.192e-13,2.5239999999999998e-29,1.279e-12,4.148e-15
2454968.6,1.016e-12,5.96e-15,1.256e-13,3.068e-15,1.159e-13,2.5239999999999998e-29,1.257e-12,6.704e-15
