JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454927.9,2.974e-12,2.299e-14,3.054e-13,2.547e-15,2.707e-13,0.0,3.55e-12,2.313e-14
2454928.91,2.966e-12,2.261e-14,3.118e-13,2.671e-15,2.655e-13,5.048999999999999e-29,3.543e-12,2.277e-14
2454930.91,2.921e-12,2.191e-14,3.392e-13,3.435e-15,2.252e-13,5.048999999999999e-29,3.485e-12,2.218e-14
2454931.9,2.873e-12,2.122e-14,3.392e-13,3.326e-15,2.129e-13,2.5239999999999998e-29,3.425e-12,2.148e-14
2454933.92,2.836e-12,2.269e-14,3.709e-13,4.134e-15,1.825e-13,2.5239999999999998e-29,3.389e-12,2.306e-14
2454937.92,2.764e-12,1.108e-14,3.797e-13,3.251e-15,1.381e-13,0.0,3.282e-12,1.155e-14
2454937.92,2.77e-12,1.112e-14,3.312e-13,1.893e-15,1.381e-13,0.0,3.239e-12,1.128e-14
2454938.9,2.754e-12,6.392e-15,3.499e-13,1.525e-15,1.291e-13,0.0,3.233e-12,6.571e-15
2454938.92,2.756e-12,9.719e-15,4.024e-13,2.73e-15,1.29e-13,2.5239999999999998e-29,3.287e-12,1.009e-14
2454939.96,2.785e-12,8.817e-15,3.698e-13,1.868e-15,1.201e-13,0.0,3.275e-12,9.012e-15
2454942.92,2.766e-12,1.614e-14,3.986e-13,2.287e-15,9.911e-14,1.2619999999999999e-29,3.264e-12,1.63e-14
2454946.89,2.739e-12,1.57e-14,4.191e-13,2.049e-15,7.477e-14,0.0,3.233e-12,1.583e-14
2454947.87,2.754e-12,1.266e-14,4.314e-13,1.982e-15,7.651e-14,3.7869999999999997e-29,3.261e-12,1.281e-14
2454948.95,2.752e-12,6.046e-15,4.046e-13,1.668e-15,6.959e-14,1.2619999999999999e-29,3.226e-12,6.272e-15
2454949.93,2.774e-12,8.758e-15,4.106e-13,1.725e-15,6.615e-14,0.0,3.251e-12,8.926e-15
2454959.93,2.787e-12,1.71e-14,4.735e-13,2.25e-15,4.452e-14,6.311000000000001e-30,3.305e-12,1.725e-14
2454960.91,2.806e-12,1.313e-14,4.773e-13,2.196e-15,4.338e-14,6.311000000000001e-30,3.326e-12,1.331e-14
2454961.94,2.82e-12,5.932e-15,4.625e-13,2.195e-15,4.232e-14,1.2619999999999999e-29,3.325e-12,6.325e-15
2454963.92,2.81e-12,1.416e-14,4.821e-13,2.255e-15,4.056e-14,1.2619999999999999e-29,3.332e-12,1.434e-14
2454965.94,2.805e-12,4.988e-15,4.708e-13,2.096e-15,3.92e-14,6.311000000000001e-30,3.315e-12,5.41e-15
2454966.84,2.806e-12,1.051e-14,4.8e-13,2.325e-15,3.874e-14,0.0,3.325e-12,1.076e-14
2454967.95,2.813e-12,5.616e-15,4.766e-13,2.316e-15,3.824e-14,6.311000000000001e-30,3.328e-12,6.075e-15
2454968.92,2.832e-12,1.306e-14,4.786e-13,2.286e-15,3.813e-14,0.0,3.349e-12,1.326e-14
2454975.93,2.739e-12,5.977e-15,4.988e-13,2.905e-15,2.883e-13,0.0,3.526e-12,6.645e-15
2454976.82,2.729e-12,1.398e-14,4.986e-13,3.811e-15,2.878e-13,0.0,3.515e-12,1.449e-14
