JD,fqbol,fqbol_err,ircorr,ircorr_err,uvcorr,uvcorr_err,fbol,fbol_err
2454927.82,3.862e-12,9.099e-15,1.758e-13,1.167e-15,2.369e-12,2.379e-14,6.407e-12,2.549e-14
2454928.84,3.808e-12,8.044e-15,1.805e-13,1.087e-15,2.167e-12,2.256e-14,6.156e-12,2.398e-14
2454929.85,3.816e-12,4.683e-15,1.871e-13,6.106e-16,2.026e-12,1.125e-14,6.029e-12,1.22e-14
2454930.78,3.819e-12,8.368e-15,2.034e-13,8.612e-16,1.76e-12,1.596e-14,5.782e-12,1.804e-14
2454931.81,3.794e-12,8.221e-15,2.15e-13,8.791e-16,1.553e-12,1.415e-14,5.562e-12,1.639e-14
2454932.85,3.801e-12,4.913e-15,2.184e-13,7.625e-16,8.229e-13,2.019e-28,4.843e-12,4.972e-15
2454933.78,3.801e-12,8.203e-15,2.275e-13,1.314e-15,7.967e-13,3.029e-28,4.825e-12,8.307e-15
2454937.79,3.744e-12,1.711e-14,2.42e-13,2.361e-15,5.225e-13,3.029e-28,4.509e-12,1.727e-14
2454938.78,3.703e-12,1.922e-14,2.385e-13,3.241e-15,4.687e-13,0.0,4.411e-12,1.949e-14
2454942.77,3.555e-12,2.18e-14,2.602e-13,3.191e-15,3.396e-13,5.048999999999999e-29,4.155e-12,2.204e-14
2454946.75,3.451e-12,1.487e-14,2.758e-13,3.306e-15,2.548e-13,0.0,3.982e-12,1.524e-14
2454947.73,3.417e-12,1.141e-14,2.862e-13,3.005e-15,2.298e-13,5.048999999999999e-29,3.933e-12,1.18e-14
2454949.81,3.41e-12,5.363e-15,3.04e-13,1.486e-15,2.09e-13,2.5239999999999998e-29,3.923e-12,5.565e-15
2454952.76,3.368e-12,1.174e-14,2.865e-13,2.567e-15,1.79e-13,5.048999999999999e-29,3.834e-12,1.202e-14
2454956.73,3.225e-12,1.154e-14,2.936e-13,2.868e-15,1.481e-13,0.0,3.666e-12,1.189e-14
2454959.7,3.201e-12,8.062e-15,3.173e-13,1.416e-15,1.315e-13,0.0,3.649e-12,8.185e-15
2454959.81,3.186e-12,5.287e-15,3.104e-13,1.249e-15,1.309e-13,2.5239999999999998e-29,3.627e-12,5.432e-15
2454960.71,3.198e-12,6.51e-15,3.104e-13,1.458e-15,1.263e-13,2.5239999999999998e-29,3.635e-12,6.671e-15
2454961.72,3.185e-12,5.149e-15,3.134e-13,1.547e-15,1.214e-13,5.048999999999999e-29,3.62e-12,5.376e-15
2454962.75,3.167e-12,5.08e-15,3.056e-13,1.571e-15,1.167e-13,5.048999999999999e-29,3.589e-12,5.318e-15
2454963.71,3.119e-12,1.597e-14,3.513e-13,2.801e-15,1.125e-13,3.7869999999999997e-29,3.583e-12,1.622e-14
2454964.7,3.156e-12,5.688e-15,3.2e-13,1.467e-15,1.105e-13,3.7869999999999997e-29,3.586e-12,5.874e-15
2454965.73,3.14e-12,4.435e-15,3.123e-13,1.409e-15,1.045e-13,2.5239999999999998e-29,3.557e-12,4.653e-15
2454966.69,3.121e-12,5.849e-15,3.144e-13,1.225e-15,1.005e-13,2.5239999999999998e-29,3.536e-12,5.976e-15
2454967.75,3.111e-12,4.519e-15,2.953e-13,1.255e-15,9.739e-14,2.5239999999999998e-29,3.504e-12,4.69e-15
2454968.69,3.101e-12,5.861e-15,3.081e-13,1.196e-15,9.378e-14,2.5239999999999998e-29,3.502e-12,5.982e-15
2454969.71,2.907e-12,5.783e-15,3.098e-13,1.53e-15,3.164e-13,6.176e-16,3.534e-12,6.014e-15
2454971.68,2.932e-12,8.878e-15,3.156e-13,2.567e-15,2.986e-13,8.98e-16,3.546e-12,9.285e-15
2454975.78,2.943e-12,5.965e-15,3.149e-13,1.832e-15,2.778e-13,5.853e-16,3.536e-12,6.267e-15
2454976.71,2.943e-12,6.79e-15,3.179e-13,2.384e-15,2.781e-13,7.333e-16,3.539e-12,7.233e-15
